date,home_team,away_team,tournament,result,home_elo,away_elo,elo_diff,home_legacy,away_legacy,legacy_diff,home_win_rate,away_win_rate,home_gd_pg,away_gd_pg,home_federation_AFC,home_federation_CAF,home_federation_CONCACAF,home_federation_CONMEBOL,home_federation_OFC,home_federation_OTHER,home_federation_UEFA,away_federation_AFC,away_federation_CAF,away_federation_CONCACAF,away_federation_CONMEBOL,away_federation_OFC,away_federation_OTHER,away_federation_UEFA
2010-01-31,Ghana,Egypt,African Cup of Nations,0,1693.1547511374197,1795.836618259005,-102.68186712158536,1612.795663684214,1681.5040189087626,-68.70835522454854,0.3,0.8,-0.3,1.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-03-03,Oman,Kuwait,AFC Asian Cup qualification,1,1672.1468578965741,1599.1938700811395,72.95298781543465,1536.9114371315468,1602.7588472384061,-65.84741010685934,0.3,0.5,-0.2,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Syria,Lebanon,AFC Asian Cup qualification,2,1619.594502167336,1382.7237673680916,236.87073479924447,1539.6655443769282,1485.7456641216545,53.91988025527371,0.2,0.2,0.3,-0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-03-03,Uzbekistan,United Arab Emirates,AFC Asian Cup qualification,0,1590.016640225614,1517.649934808641,72.36670541697299,1575.8238830474377,1589.2673647345453,-13.443481687107578,0.3,0.2,0.3,-0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Australia,Indonesia,AFC Asian Cup qualification,2,1799.138679752711,1445.3176911210205,353.8209886316904,1754.1560972106959,1445.6589619753065,308.49713523538935,0.6,0.2,0.8,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Hong Kong,Yemen,AFC Asian Cup qualification,1,1394.361710514422,1432.8558386349168,-38.494128120494906,1411.3930527659106,1364.8708568317065,46.52219593420409,0.1,0.5,-1.5,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-03-03,Iran,Thailand,AFC Asian Cup qualification,2,1676.2888670421482,1601.545307735458,74.74355930669026,1721.9085149299528,1568.109485356037,153.79902957391573,0.4,0.4,0.0,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Japan,Bahrain,AFC Asian Cup qualification,2,1783.6757518495833,1656.4337016456898,127.24205020389354,1723.0226117838874,1562.7778883235444,160.24472346034304,0.6,0.4,1.9,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-03-03,Jordan,Singapore,AFC Asian Cup qualification,2,1477.5274583378389,1508.125281828484,-30.59782349064517,1544.7946598181718,1455.199711316222,89.59494850194983,0.1,0.3,-1.1,-0.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-06-11,Uruguay,France,FIFA World Cup,1,1781.5122369455323,1825.7254411008723,-44.21320415534001,1707.6282384179653,1890.6889782806386,-183.06073986267324,0.5,0.4,0.6,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1
